date, pm25, pm10, o3, no2, co
2016/12/18, 133, 82, 62, 15, 10
2016/12/19, 95, 81, 56, 15, 13
2016/12/20, 88, 101, 54, , 27
2016/12/21, 112, 104, 53, 14, 38
2016/12/22, 118, 85, 74, 14, 21
2016/12/23, 90, 65, 81, 14, 19
2016/12/24, 65, 60, 84, 14, 25
2016/12/25, 59, 77, 84, , 29
2016/12/26, 77, 92, 83, , 34
2016/12/27, 94, 93, 84, , 31
2016/12/28, 95, 96, 81, , 23
2016/12/29, 100, 106, 84, , 31
2016/12/30, 123, 106, 84, 14, 37
2016/12/31, 121, 101, 84, , 31
2017/1/1, 105, 94, 84, 14, 24
2016/7/1, 34, 29, 24, , 
2016/7/2, 39, 22, 16, , 
2016/7/3, 36, 16, 12, 5, 
2016/7/4, 31, 21, 18, 2, 
2016/7/5, 31, 25, 20, 2, 104
2016/7/6, 32, 26, 20, , 104
2016/7/7, 32, 37, 20, 13, 59
2016/7/8, 39, 37, 20, 14, 59
2016/7/9, 40, , , , 
2016/7/11, 30, 27, 34, 12, 
2016/7/12, 31, 28, 40, 12, 
2016/7/13, 32, 29, 40, , 
2016/7/18, 29, 23, 20, 21, 
2016/7/19, 26, 20, 20, 24, 
2016/7/20, 24, 22, 16, 22, 
2016/7/21, 26, 25, 20, 21, 
2016/7/22, 29, 28, 25, , 
2016/7/23, 31, 30, 26, , 
2016/7/24, 33, 32, 36, 20, 104
2016/7/25, 35, 29, 40, 16, 79
2016/7/26, 33, 28, 26, 17, 59
2016/7/27, 32, 23, 24, 22, 
2016/7/28, 28, 22, 24, 26, 
2016/7/29, 26, 22, 22, 30, 
2016/7/30, 26, 21, 22, , 
2016/7/31, 25, 18, 24, , 
2016/8/1, 22, 31, 25, , 
2016/8/2, 24, 49, 24, 24, 
2016/8/3, 24, 15, 24, 17, 
2016/8/4, 20, 23, 24, 12, 
2016/8/5, 27, 24, 21, , 
2016/8/6, 28, 21, 20, , 
2016/8/7, 25, 23, 20, , 
2016/8/8, 27, 25, 20, , 
2016/8/9, 29, 28, 22, 14, 
2016/8/10, 32, 25, 22, 12, 
2016/8/11, 29, 26, 23, 12, 
2016/8/12, 29, 30, 24, 12, 
2016/8/13, 34, 31, 23, 12, 
2016/8/14, 35, 43, 25, 16, 
2016/8/15, 47, , 26, 16, 
2016/8/17, 32, 26, 26, 14, 
2016/8/18, 29, 30, 24, 15, 
2016/8/19, 33, 38, 27, 16, 
2016/8/20, 41, 38, 26, 19, 
2016/8/21, 41, 36, 22, 19, 
2016/8/22, 39, 29, 22, , 
2016/8/23, 32, 19, 22, , 
2016/8/24, 24, 27, 22, 16, 
2016/8/25, 31, 31, 20, 16, 
2016/8/26, 34, 19, 20, , 
2016/8/27, 22, 15, 17, 14, 
2016/8/28, 19, 14, 18, 14, 
2016/8/29, 17, 14, 18, 16, 
2016/8/30, 18, 17, 18, 16, 
2016/8/31, 21, 23, 18, , 
2016/9/1, 27, 21, 22, , 
2016/9/2, 23, 20, 22, , 
2016/9/3, 23, , , , 
2016/9/5, 43, 37, 38, , 
2016/9/6, 40, 36, 42, 19, 
2016/9/7, 39, 34, 42, 16, 
2016/9/8, 37, 31, 49, 16, 
2016/9/9, 34, 36, 50, , 
2016/9/10, 39, 37, 50, , 
2016/9/11, 41, 29, 52, , 
2016/9/12, 33, 25, 52, 14, 
2016/9/13, 28, 26, 50, 14, 
2016/9/14, 29, 27, 42, , 
2016/9/15, 30, 20, 47, , 
2016/9/16, 23, 19, 48, 16, 
2016/9/17, 22, 14, 46, 16, 
2016/9/18, 17, 11, 52, , 
2016/9/19, 15, 16, 43, , 
2016/9/20, 20, 19, 47, , 
2016/9/21, 23, 15, 48, , 
2016/9/22, 19, 20, 44, 24, 
2016/9/23, 21, 25, 42, 17, 
2016/9/24, 24, 27, 54, 12, 
2016/9/25, 28, 37, 50, 14, 
2016/9/26, 41, 40, 51, 18, 
2016/9/27, 44, 43, 52, 17, 
2016/9/28, 46, 44, 50, 16, 
2016/9/29, 47, 45, 55, 19, 
2016/9/30, 48, 41, 46, 19, 
2016/4/1, 59, 62, 94, , 
2016/4/2, 47, 88, 105, , 
2016/4/3, 67, 94, 131, , 
2016/4/4, 69, 107, 131, 73, 
2016/4/5, 74, 105, 104, 36, 
2016/4/6, 85, 92, 107, 19, 
2016/4/7, 62, 80, 90, 16, 
2016/4/8, 45, 66, 92, 17, 
2016/4/9, 48, 80, 109, 22, 
2016/4/10, 66, 94, 83, 30, 
2016/4/11, 76, 90, 116, 37, 
2016/4/12, 68, 83, 116, 29, 
2016/4/13, 67, 81, 110, 23, 69
2016/4/14, 73, 91, 108, , 59
2016/4/15, 83, 79, 104, , 
2016/4/16, 65, 71, 94, , 
2016/4/17, 57, 71, 92, , 
2016/4/18, 59, 89, 92, , 
2016/4/19, 70, 100, 82, , 
2016/4/20, 76, 97, 69, , 
2016/4/21, 70, 85, 61, 21, 104
2016/4/22, 62, 55, 60, 21, 81
2016/4/23, 47, 57, 52, 19, 59
2016/4/24, 47, 75, 62, 19, 
2016/4/25, 60, 68, 90, 21, 
2016/4/26, 60, 75, 94, 19, 
2016/4/27, 63, 93, 101, 19, 
2016/4/28, 68, 88, 101, 16, 
2016/4/29, 80, 68, 74, 14, 
2016/4/30, 71, 57, 74, , 
2016/5/1, 59, 51, 80, 12, 
2016/5/2, 52, 61, 90, 16, 
2016/5/3, 42, 62, 90, 19, 
2016/5/4, 32, 68, 72, , 
2016/5/5, 38, 65, 86, , 
2016/5/6, 36, 52, 86, , 
2016/5/7, 43, 67, 80, , 
2016/5/8, 58, 70, 68, , 
2016/5/9, 62, 63, 70, 24, 
2016/5/10, 53, 49, 92, 24, 
2016/5/11, 44, 42, 88, 17, 
2016/5/12, 46, 54, 82, 17, 
2016/5/13, 53, 66, 67, 19, 
2016/5/14, 64, 73, 72, 14, 
2016/5/15, 71, 69, 72, 14, 
2016/5/16, 61, 61, 72, , 
2016/5/17, 60, 61, 70, , 
2016/5/18, 63, 67, 52, , 
2016/5/19, 64, 55, 44, 16, 
2016/5/20, 44, 50, 40, 15, 
2016/5/21, 36, 54, 38, 14, 
2016/5/22, 34, 46, 36, 15, 
2016/5/23, 32, 37, 42, 14, 
2016/5/24, 31, 35, 52, 16, 
2016/5/25, 31, 36, 58, 16, 
2016/5/26, 27, 50, 58, 14, 
2016/5/27, 35, 54, 52, 14, 
2016/5/28, 41, 47, 52, , 
2016/5/29, 40, 43, 54, , 
2016/5/30, 42, 40, 62, 12, 
2016/5/31, 49, 43, 70, 12, 
2016/6/1, 42, 52, 70, , 
2016/6/2, 35, 59, 74, 14, 
2016/6/3, 36, 62, 64, 14, 
2016/6/4, 37, 62, 64, 16, 
2016/6/5, 47, 51, 58, 16, 
2016/6/6, 75, 63, 51, 15, 
2016/6/7, 58, 57, 56, 17, 
2016/6/8, 44, 43, 56, 19, 
2016/6/9, 38, 43, 50, 14, 
2016/6/10, 34, 38, 50, 13, 
2016/6/11, 31, 29, 50, 12, 
2016/6/12, 28, 28, 46, , 
2016/6/13, 30, 35, 48, 15, 
2016/6/14, 35, 40, 66, 15, 
2016/6/15, 41, 51, 66, 14, 
2016/6/16, 55, 71, 68, 27, 
2016/6/17, 70, 64, 74, 38, 
2016/6/18, 107, 65, 74, 42, 
2016/6/19, 135, 59, 72, 44, 
2016/6/20, 105, 33, 76, 40, 
2016/6/21, 59, 16, 76, 30, 
2016/6/22, 42, 20, 74, 21, 
2016/6/23, 27, 23, 72, , 
2016/6/24, 21, 21, 66, 19, 
2016/6/25, 21, 21, , 19, 
2016/6/26, 20, 23, , 19, 
2016/6/27, 23, 29, 26, 15, 
2016/6/28, 34, 29, 27, 12, 
2016/6/29, 35, 28, 26, 12, 
2016/6/30, 32, 29, 24, , 
2016/1/4, 52, 72, 37, 10, 29
2016/1/5, 57, 101, 51, , 
2016/1/6, 74, 100, 44, , 
2016/1/7, 75, 104, 31, , 
2016/1/8, 84, 90, 61, 15, 
2016/1/9, 70, 78, 61, 17, 
2016/1/10, 56, 82, 57, 14, 
2016/1/11, 62, 78, 59, 15, 
2016/1/12, 77, 79, 58, 12, 
2016/1/13, 85, 117, 51, 6, 
2016/1/14, 78, 114, 60, 9, 
2016/1/15, 70, 84, 45, 10, 
2016/1/16, 54, 55, 40, 9, 
2016/1/17, 43, 52, 40, 13, 
2016/1/18, 39, 53, 73, 14, 59
2016/1/19, 31, 66, 108, 12, 59
2016/1/20, 39, 75, 93, 14, 
2016/1/21, 62, 70, 107, 14, 
2016/1/22, 73, 86, 115, 9, 
2016/1/23, 86, 101, 128, 9, 
2016/1/24, 116, 90, 94, 14, 
2016/1/25, 99, 78, 94, 16, 
2016/1/26, 82, 62, 119, 12, 
2016/1/27, 58, 70, 146, 15, 
2016/1/28, 65, 83, 128, 19, 
2016/1/29, 73, , , , 
2016/1/31, 111, 104, 133, 23, 
2016/2/1, 106, 97, 128, 19, 
2016/2/2, 91, 83, 92, 17, 
2016/2/3, 81, 76, 136, 18, 
2016/2/4, 73, 86, 144, 20, 83
2016/2/5, 83, 74, 80, 20, 59
2016/2/6, 71, 59, 88, 23, 
2016/2/7, 56, 58, 105, 25, 111
2016/2/8, 52, 82, 148, 23, 106
2016/2/9, 77, 94, 113, 21, 59
2016/2/10, 99, 67, 78, 21, 
2016/2/11, 71, 51, 82, 21, 
2016/2/12, 50, 54, 117, 15, 
2016/2/13, 43, 79, 127, 13, 
2016/2/14, 61, 115, 142, 16, 
2016/2/15, 100, 109, 141, 25, 
2016/2/16, 112, 100, 146, 30, 
2016/2/17, 91, 93, 125, 23, 
2016/2/18, 88, 80, 117, 14, 
2016/2/19, 74, 74, 125, 14, 
2016/2/20, 59, 78, 101, 20, 
2016/2/21, 54, 88, 96, 19, 
2016/2/22, 59, 88, 116, 14, 104
2016/2/23, 60, 69, 118, 16, 75
2016/2/24, 46, 58, 119, 17, 59
2016/2/25, 41, 65, 134, 16, 
2016/2/26, 44, 78, 137, 19, 
2016/2/27, 53, 93, 131, 19, 
2016/2/28, 65, 99, 136, 16, 
2016/2/29, 71, 95, 143, 18, 
2016/3/1, 66, 75, 87, 19, 
2016/3/2, 49, 71, 92, 20, 
2016/3/3, 48, 59, 161, 21, 104
2016/3/4, 45, 49, 164, 23, 86
2016/3/5, 36, 56, 84, 26, 59
2016/3/6, 38, 57, 93, 19, 
2016/3/7, 36, 69, 127, 18, 
2016/3/8, 43, 87, 131, 17, 63
2016/3/9, 54, 94, 122, 17, 59
2016/3/10, 60, 93, 133, 18, 
2016/3/11, 59, 74, 116, 18, 
2016/3/12, 50, 66, 110, 16, 
2016/3/13, 38, 61, 97, 16, 
2016/3/14, 27, 63, 105, , 
2016/3/15, 30, 79, 137, 19, 
2016/3/16, 40, 84, 104, 17, 
2016/3/17, 44, 89, 118, 24, 
2016/3/18, 53, 100, 122, 24, 
2016/3/19, 67, 111, 88, 14, 
2016/3/20, 76, 109, 69, 12, 
2016/3/21, 75, 111, 128, 9, 
2016/3/22, 76, 117, 129, 10, 
2016/3/23, 87, 127, 122, 12, 62
2016/3/24, 121, 120, 132, , 59
2016/3/25, 154, 106, 163, , 
2016/3/26, 126, 106, 173, , 
2016/3/27, 110, 118, 92, , 
2016/3/28, 164, 119, 103, 14, 
2016/3/29, 264, 89, 130, 14, 
2016/3/30, 89, 89, 120, , 
2016/3/31, 87, 65, 94, , 
2015/10/1, 95, 121, 38, 15, 3
2015/10/2, 77, 51, 30, 16, 4
2015/10/3, 42, 25, 16, , 8
2015/10/4, 23, 43, 46, 15, 9
2015/10/5, 41, 47, 9, 16, 18
2015/10/6, 49, 52, 68, , 12
2015/10/7, 49, 57, 76, 17, 11
2015/10/8, 49, 58, 76, 16, 6
2015/10/9, 52, 51, 50, 16, 3
2015/10/10, 39, 40, 29, 15, 3
2015/10/11, 25, 37, 29, 14, 3
2015/10/12, 22, 37, 10, 12, 3
2015/10/13, 22, 43, 8, 12, 2
2015/10/14, 30, 72, 39, 11, 4
2015/10/15, 68, 80, 34, 11, 6
2015/10/16, 67, 88, 32, , 7
2015/10/17, 76, 89, 7, , 13
2015/10/18, 82, 83, 29, 12, 8
2015/10/19, 69, 86, 41, 12, 14
2015/10/20, 72, 87, 18, , 20
2015/10/21, 71, 85, 12, , 38
2015/10/22, 73, 132, 57, 37, 50
2015/10/23, 118, 167, 64, 40, 26
2015/10/24, 105, 90, 18, 41, 12
2015/10/25, 55, 51, 61, 42, 14
2015/10/26, 53, 73, 59, 41, 14
2015/10/27, 53, 264, 13, 42, 8
2015/10/28, 55, 71, 64, 9, 6
2015/10/29, 47, 71, 73, 9, 11
2015/10/30, 48, 61, 69, , 14
2015/10/31, 50, 61, 67, , 17
2015/11/1, 58, 63, 31, , 23
2015/11/2, 59, 83, 57, , 48
2015/11/3, 47, 54, 58, , 50
2015/11/4, 42, 50, 56, , 53
2015/11/5, 44, 54, 62, , 48
2015/11/6, 51, 51, 68, , 34
2015/11/7, 46, 46, 54, , 14
2015/11/8, 43, 52, 53, , 16
2015/11/9, 51, 52, 51, 8, 18
2015/11/10, 54, 56, 61, 8, 10
2015/11/11, 58, 57, 61, , 4
2015/11/12, 63, 84, 60, 10, 
2015/11/13, 80, 84, 60, 10, 
2015/11/14, 80, , , , 
2015/11/16, 72, 92, 56, 8, 20
2015/11/17, 70, 90, 60, 8, 10
2015/11/18, 67, 85, 57, 9, 11
2015/11/19, 63, 75, 45, 8, 12
2015/11/20, 53, 69, 29, 8, 15
2015/11/21, 47, 60, 32, , 27
2015/11/22, 46, 55, 37, , 13
2015/11/23, 50, 49, 36, 9, 26
2015/11/24, 42, 83, 48, 9, 37
2015/11/25, 59, 101, 57, 8, 42
2015/11/26, 74, 106, 62, 8, 71
2015/11/27, 79, 126, 68, 8, 7
2015/11/28, 86, 118, 50, 8, 7
2015/11/29, 86, 98, 56, 8, 10
2015/11/30, 74, 107, 45, 8, 9
2015/12/1, 77, 83, 49, 9, 10
2015/12/2, 62, 76, 48, , 16
2015/12/3, 59, 82, 55, 8, 16
2015/12/4, 62, 97, 7, 8, 23
2015/12/5, 73, 108, 51, 12, 21
2015/12/6, 84, 98, 54, 9, 19
2015/12/7, 81, 119, 53, 9, 22
2015/12/8, 82, 143, 66, 9, 28
2015/12/9, 99, 109, 72, 10, 20
2015/12/10, 82, 83, 49, 9, 8
2015/12/11, 65, 66, 28, , 14
2015/12/12, 54, , , , 
2015/12/14, 63, 89, 37, , 34
2015/12/15, 71, 98, 37, , 29
2015/12/16, 77, 65, 39, , 33
2015/12/17, 53, 78, 54, , 36
2015/12/18, 61, 115, 80, , 29
2015/12/19, 80, 119, 42, , 7
2015/12/20, 83, 90, 32, 10, 32
2015/12/21, 80, 66, 30, 10, 41
2015/12/22, 55, 56, 61, , 29
2015/12/23, 42, 80, 62, , 
2015/12/24, 61, 102, 65, , 
2015/12/25, 80, 105, 63, , 33
2015/12/26, 85, 107, 70, , 29
2015/12/27, 83, 105, 68, , 37
2015/12/28, 83, 108, 7, , 59
2015/12/29, 80, 109, , , 
2015/7/10, 45, 106, 22, 17, 11
2015/7/11, 48, 137, 19, , 7
2015/7/12, 59, 101, 36, 16, 10
2015/7/13, 57, 155, 50, 17, 11
2015/7/14, 58, 154, 39, 31, 14
2015/7/15, 58, 92, 41, 15, 11
2015/7/16, 56, 89, 41, 30, 10
2015/7/17, 59, 99, 31, 20, 10
2015/7/18, 67, 98, 31, 15, 11
2015/7/19, 68, 93, 40, , 8
2015/7/20, 51, 88, 39, , 11
2015/7/21, 48, 62, 35, , 9
2015/7/22, 40, 68, 35, 16, 7
2015/7/23, 45, 75, 32, 11, 9
2015/7/24, 42, 78, 43, 10, 6
2015/7/25, 45, 74, 42, 9, 8
2015/7/26, 47, 80, 45, 27, 8
2015/7/27, 45, 80, 44, 24, 7
2015/7/28, 39, 87, 20, 18, 7
2015/7/29, 45, 68, 19, 20, 8
2015/7/30, 39, 64, 9, 17, 14
2015/7/31, 33, 68, 9, 17, 13
2015/8/1, 34, 132, 19, 16, 3
2015/8/2, 48, 93, 19, 20, 7
2015/8/3, 49, 72, 18, 11, 11
2015/8/4, 53, 82, 18, 7, 9
2015/8/5, 45, 67, 22, 17, 6
2015/8/6, 38, 74, 25, 14, 13
2015/8/7, 43, 63, 17, 20, 11
2015/8/8, 43, 63, , , 11
2015/8/9, 43, , , , 
2015/8/14, 41, 68, 21, 19, 12
2015/8/15, 39, 84, 19, 30, 13
2015/8/16, 39, 138, 19, 18, 12
2015/8/17, 42, 58, 21, 18, 7
2015/8/18, 33, 58, 22, 20, 7
2015/8/19, 36, , , , 
2015/8/24, 32, 55, 24, 25, 21
2015/8/25, 32, 54, 29, 8, 20
2015/8/26, 34, 51, 17, 16, 14
2015/8/27, 33, 42, 11, 11, 21
2015/8/28, 34, 40, 8, 12, 20
2015/8/29, 32, 40, 8, , 21
2015/8/30, 32, 52, 15, 13, 23
2015/8/31, 34, 53, 13, 13, 24
2015/9/1, 35, , , , 
2015/9/4, 60, 121, 62, 15, 28
2015/9/5, 71, 134, 62, 15, 22
2015/9/6, 74, , , , 
2015/9/8, 48, 74, 46, 8, 20
2015/9/9, 48, , , , 
2015/9/11, 74, 82, 49, 11, 7
2015/9/12, 75, , , , 
2015/9/14, 68, 75, 31, 10, 2
2015/9/15, 66, 72, 20, 31, 39
2015/9/16, 57, 72, 19, 30, 40
2015/9/17, 57, 78, 24, 16, 39
2015/9/18, 60, 77, 32, 19, 12
2015/9/19, 44, 77, 32, 21, 2
2015/9/20, 38, 71, 27, 20, 4
2015/9/21, 19, 73, 14, 18, 24
2015/9/22, 17, 80, 24, 16, 22
2015/9/23, 28, 75, 13, 15, 8
2015/9/24, 42, 75, 20, 15, 6
2015/9/25, 51, , , , 
2015/9/28, 68, 98, 19, 14, 14
2015/9/29, 64, 107, 30, 15, 17
2015/9/30, 72, 126, 21, 16, 4
2021/7/13, , 17, 57, 12, 51
2020/7/3, , 16, 61, 9, 33
2020/7/15, , 14, 59, , 
2020/7/16, , 16, 59, , 
2020/7/17, , 19, 59, , 
2020/7/18, , 20, 55, , 
2020/7/24, , 20, 55, 10, 51
2020/7/26, , 18, 55, 11, 51
2020/8/4, , 15, 44, 10, 51
2020/8/8, , 26, 55, , 
2020/8/15, , 23, 57, 10, 
2020/8/19, , 19, 36, 10, 51
2020/8/22, , 20, 53, , 
2020/8/23, , 20, 55, 8, 51
2020/9/24, , 17, 50, 10, 
2020/9/25, , 22, 51, 10, 
2020/3/31, , 37, 50, 7, 39
2020/6/23, , 30, 66, , 
2019/12/31, , 50, 57, 18, 20
2019/12/1, , 55, 30, 20, 38
2018/12/31, , 55, 26, 47, 28
2018/4/15, , 69, , , 30
2018/4/22, , 70, 21, , 18
2017/12/31, , 93, 22, 25, 53
2017/11/5, , 85, 82, 22, 22
2017/12/14, , 49, 78, , 52
2017/7/23, , 34, 25, , 54
2017/7/30, , 31, 22, , 12
2017/9/10, , 31, 30, 8, 11
2017/6/26, , 28, 18, 20, 82
2017/2/7, , 91, 41, 21, 73
2016/12/12, , 79, 80, 14, 45
2016/7/10, , 27, 16, , 
2016/7/17, , 26, 16, 13, 
2016/8/16, , 28, 26, , 
2016/9/4, , 40, 38, , 
2016/1/3, , 69, 66, 10, 33
2016/1/30, , 107, 126, 26, 
2015/11/15, , 73, 61, 9, 11
2015/12/13, , 75, 17, , 25
2015/7/9, , 94, 21, 17, 13
2015/8/13, , 60, 17, 16, 16
2015/8/23, , 52, 19, 74, 24
2015/9/3, , 91, 16, 17, 37
2015/9/7, , 74, 46, 8, 20
2015/9/10, , 82, 54, 11, 8
2015/9/13, , 73, 35, 10, 6
2015/9/27, , 104, 19, 14, 9
2017/2/6, , , , 20, 
